"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2.5,0.5,2,-1,1,-1,0.5,1.5,0.5,-1.5
"2",0,0,0.5,1,1.5,1,-1,1,1.5,-1
"3",1.5,1,1,-1,0,-1.5,-1,-1,1,-1
"4",0,0.5,-2,0,-1,1.5,-1.5,0,-2,-1.5
"5",0,0,0,-0.5,0.5,1,-0.5,-0.5,0,0
"6",1,-0.5,0,0,0,0.5,-1,1,-2,1
"7",1,-1,-1,-1,0,1.5,0,1,0,0
"8",0,-1.5,-0.5,1.5,0,0,0,-1,0.5,-0.5
"9",-2,-1.5,1.5,1.5,0,0,0.5,1,0,1
"10",-0.5,3.5,0,-1,-1.5,-1.5,-1,-1,1,0.5
"11",0,1.5,0,0,2,-1.5,0.5,-0.5,2,-1
"12",0,-2,-0.5,0,-0.5,2,1.5,0,0.5,-1
"13",-1,-0.5,-0.5,-1,0,0.5,0.5,-1.5,-1,-1
"14",0.5,1,-1,-0.5,-2,-1,-1.5,0,1.5,1.5
"15",1,0,1.5,1.5,1,-1,0,1,-2,-1.5
